source_id,pdf_id,development,event_type,review_status,local_exists,sha256_match,excerpt_found,required_fields_pass,issues,action
SRC-E1-A01,,화성 동탄2,occupancy_planned_block,needs_human,True,True,True,True,,human_verify
SRC-E1-A02,,화성 동탄2,occupancy_planned_block,needs_human,True,True,True,False,missing_block_name,repair_then_human_verify
SRC-E1-A03,,김포 한강,occupancy_planned_block,needs_human,True,True,True,False,missing_block_name,repair_then_human_verify
SRC-E1-A04,PDF-076,김포 한강,occupancy_planned_block,needs_human,True,True,False,False,excerpt_not_found_in_extracted_text,repair_then_human_verify
SRC-E1-A05,,위례,occupancy_first_planned,needs_human,True,True,True,True,,human_verify
SRC-E1-A06,,위례,occupancy_planned_block,needs_human,True,True,True,True,,human_verify
SRC-E1-A07,,남양주 다산,occupancy_planned_block,needs_human,True,True,True,True,,human_verify
SRC-E1-A08,PDF-052,남양주 다산,occupancy_planned_block,needs_human,True,True,True,False,missing_event_date,repair_then_human_verify
SRC-E1-A09,,하남 미사,occupancy_planned_block,needs_human,True,True,True,False,missing_block_name,repair_then_human_verify
SRC-E1-A10,,하남 미사,occupancy_planned_block,needs_human,True,True,False,False,excerpt_not_found_in_extracted_text,repair_then_human_verify
SRC-E1-B01,,화성 동탄2,promise_date,needs_human,True,True,False,False,excerpt_not_found_in_extracted_text,repair_then_human_verify
SRC-E1-B03,PDF-022,김포 한강,promise_date,needs_human,True,True,True,True,,human_verify
SRC-E1-B04,PDF-026,김포 한강,promise_date,needs_human,True,True,True,True,,human_verify
SRC-E1-B06,PDF-093,위례,promise_date,needs_human,True,True,True,True,,human_verify
SRC-E1-B07,,남양주 다산,promise_date,needs_human,True,True,True,True,,human_verify
SRC-E1-B08,,남양주 다산,promise_date,needs_human,True,True,True,True,,human_verify
SRC-E1-B09,PDF-017,하남 미사,promise_date,needs_human,True,True,True,True,,human_verify
SRC-E1-C03,PDF-035,김포 한강,actual_operation,needs_human,True,True,True,False,missing_line_name,repair_then_human_verify
SRC-E1-C05,,위례,promise_date,needs_human,True,True,True,True,,human_verify
