review_priority,source_id,development,event_type,,title,source_url,local_path,,attachment_local_path,page_or_section,exact_excerpt,review_status,review_issue,qa_issues,required_action,reject_reason,notes
1,SRC-E2-A09,고양 창릉,occupancy_planned_block," 블록별 입주예정일, 입주자모집공고, 정정 시 버전 관리",고양창릉 S-4블록 공공분양주택 입주자모집공고,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=0000061121&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05&mi=1027,C:\Users\parkd\new project\Transport-gap-audit\data\raw\evidence\고양창릉S-4블록공공분양입주자모집공고문(안).pdf,,,공고문 본문; 저장 원문 문맥,"고객님의 안전한 개인정보를 위해 자동로그아웃을 합니다. 로그인 시간을 연장하시겠습니까? 연장하기 로그아웃 당첨자조회 예비자조회 공고이력조회 정정공고 바로가기 취소공고 바로가기 목록 고양창릉 S-4블록 공공분양주택 입주자모집공고 유의사항본 공고문에 대한 정정 공고문이 있습니다. 정정공고바로가기 버튼을 눌러 확인하여 주시기 바랍니다. 공고상태접수마감 공고일2026.06.30 마감일2026.07.29 유형분양주택 담당부서경기북부지역본부 문의처1600-1004 공고문 고양창릉S-4블록공공분양입주자모집공고문(안).hwp바로보기 고양창릉S-4블록공공분양입주자모집공고문(안).pdf바로보기 다운로드 고양창릉S-4블록공공분양주택팸플릿_공고.pdf바로보기 1.위임장.hwp바로보기 2-1.개인정보수집이용및제3자제공동의서(사전청약당첨자용).hwp바로보기 2-2.개인정보수집이용및제3자제공동의서(본청약자용).hwp바로보기 3.주택취득자금조달및입주계획서.hwp바로보기 문서뷰어다운로드 한컴오피스 뷰어 Acrobat Reader DWG 뷰어 공고내용 ■ 이 주택의 입주자모집공고일은 2026.06.30.(화)이며, 이는 청약자격(청약신청, 자격조건의 기간, 나이, 세대구성원, 지역우선, 주택소유 등)의 판단기준일이 됩니다. ■ 공급위치 :경기도 고양시 덕양구 도내동 외 8개 동 일원 고양창릉 공공주택지구 내 S-4블록 ■ 공급대상 : 공공분양주택 1,024세대 (전",needs_human,PARAPHRASE,version_not_assigned,원문 페이지와 인용을 사람이 확인 후 human_verified/rejected 확정,인용문:N,원문 직접 확인
1,SRC-F019,고양 창릉,occupancy_planned_block," 블록별 입주예정일, 입주자모집공고, 정정 시 버전 관리",고양창릉 A-4블록 신혼희망타운 입주자모집공고,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?aisTpCd=39&ccrCnntSysDsCd=02&mi=1027&panId=0000060802&uppAisTpCd=39,C:\Users\parkd\new project\Transport-gap-audit\evidence\documents\고양 창릉\2025-01-31_고양창릉_A-4블록_신혼희망타운_입주자모집공고.html,,,공급정보 A-04; 저장 원문 문맥,* 전용면적(㎡) : 55.78 ~ 55.98 * 총 세대수 : 900 * 난방방식 : 지역난방 * 입주예정월 : 2028년 01월 #### 단지 관련 이미지 정보 다운로드 버튼을 클릭하여 이미지 파일 다운로드가 가능합니다. 다운로드 __,needs_human,MANUAL_CONFIRM,version_not_assigned,원문 페이지와 인용을 사람이 확인 후 human_verified/rejected 확정,인용문:TOO_SHORT,미래 예정월
1,SRC-F020,고양 창릉,occupancy_planned_block," 블록별 입주예정일, 입주자모집공고, 정정 시 버전 관리",고양창릉 S-5블록 공공분양주택 입주자모집공고,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?aisTpCd=05&ccrCnntSysDsCd=02&mi=1027&panId=0000060807&uppAisTpCd=05,C:\Users\parkd\new project\Transport-gap-audit\evidence\documents\고양 창릉\2025-01-31_고양창릉_S-5블록_공공분양주택_입주자모집공고.html,,,공급정보 S-05; 저장 원문 문맥,* 전용면적(㎡) : 51.91 ~ 84.96 * 총 세대수 : 759 * 난방방식 : 지역난방 * 입주예정일 : 2028년 01월 #### 단지 관련 이미지 정보 다운로드 버튼을 클릭하여 이미지 파일 다운로드가 가능합니다. 다운로드 __,needs_human,MANUAL_CONFIRM,version_not_assigned,원문 페이지와 인용을 사람이 확인 후 human_verified/rejected 확정,인용문:TOO_SHORT,독립 블록 공고로 예정월 교차확인
1,SRC-F021,고양 창릉,promise_date," 교통시설 완공 목표시점, 광역교통개선대책 원문, 서술어(예정/목표/추진) 원문 보존 + mode·line_name·scope 필수",남양주왕숙·고양창릉 신도시 교통대책 확정,https://www.molit.go.kr/mta/USR/N0201/m_36770/dtl.jsp?id=95084988&lcmspage=1,C:\Users\parkd\new project\Transport-gap-audit\evidence\documents\고양 창릉\2020-12-29_남양주왕숙_고양창릉_신도시_교통대책_확정.html,,C:\Users\parkd\Documents\Codex\2026-08-20\files-mentioned-by-the-user-30-2\evidence\originals\20260902\201230(조간)남양주왕숙_고양창릉 신도시 교통대책 확정(공공택지기획과 광역교통정책과).hwp,고양창릉 대책; 저장 원문 문맥,"등 기존 도로의 교통여건도 개선될 것으로 기대된다. [ 2. 고양창릉 광역교통개선대책 ] ◈ 고양~서울 은평간 도시철도 등 16개 사업에 총 2조 2천억원 투입 고양창릉지구는 대중교통 확충 부분 중 핵심사업으로 고양~서울 은평 간 도시철도 건설와 GTX-A 창릉역 신설을 추진한다. 또한, 고양시 지역 내 철도 소외지역 간 연계를 위해 대곡~고양시청, 식사~고양시청 신교통수단 사업을 계획하였다. * 대곡∼고양시청 신교통수단사업은 기존 교외선 활용 예정 버스 대중교통을 이용해 고양시 인근 도심지를 쉽고 빠르게 접근할 수 있도록 사업지 남북에 위치한 중앙로 및 통일로 BRT 연계를 위한",needs_human,PARAPHRASE,promise_target_date_missing,원문 페이지와 인용을 사람이 확인 후 human_verified/rejected 확정,인용문:TOO_SHORT,"확정 원문, 사업별 개통 목표는 후속 계획으로 추적"
1,SRC-F022,고양 창릉,promise_date," 교통시설 완공 목표시점, 광역교통개선대책 원문, 서술어(예정/목표/추진) 원문 보존 + mode·line_name·scope 필수",신도시 광역교통 개선 투자계획,https://www.molit.go.kr/2024plan_traffic/news/bodo_2.pdf,C:\Users\parkd\new project\Transport-gap-audit\evidence\documents\고양 창릉\2024-01-25_신도시_광역교통_개선_투자계획.pdf,,,11쪽 북부권; 저장 원문 문맥,"* (양주신도시 : 국도 3호선 확장) 국토부가 사업 규모 조정‧중재 등으로 약 3년 단축 <고양 창릉> <양주 신도시> ➊고양은평선 ➋화전역 환승시설 ➊,➋국도3호선 확장 - 12 - ㅇ (서부권) 인천계양, 부천대장등에약1조원(5개사업) 투자",needs_human,MISSING_MODE_LINE_SCOPE,promise_target_date_missing,원문 페이지와 인용을 사람이 확인 후 human_verified/rejected 확정,인용문:TOO_SHORT,2024년 집중투자 대상 재확인
1,SRC-E1-A03,김포 한강,occupancy_planned_block," 블록별 입주예정일, 입주자모집공고, 정정 시 버전 관리",김포한강 Ac-01a블록 10년 공공임대주택리츠 입주자 모집공고,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=0000061106&ccrCnntSysDsCd=02&uppAisTpCd=06&aisTpCd=08&mi=1026,C:\Users\parkd\new project\Transport-gap-audit\evidence\documents\김포 한강\2026-06-19_김포한강_Ac-01a블록_10년_공공임대주택리츠_입주자_모집공고.html,,,공고문 본문; 저장 원문 문맥,* 계약체결기간 : 9999.12.31 ~ 9999.12.31 안내사항 ### 접수처정보 * 소재지 : 경기도 김포시 김포한강4로 129 (장기동) * 전화번호 : 03180485320 * 운영기간 : #### 접수처 관련 위치 정보,needs_human,PARAPHRASE,block_or_planned_date_missing;version_not_assigned,원문 페이지와 인용을 사람이 확인 후 human_verified/rejected 확정,인용문:N,원문 직접 확인
1,SRC-E1-C03,김포 한강,actual_operation," 그 시설의 실제 운행 개시일, 운영기관 개통 안내, 공백일수 계산의 종료점","8849번(하남-미사-김포,인천공항) 운행시간 정보",https://www.hanam.go.kr/www/contents.do?key=3262,C:\Users\parkd\new project\Transport-gap-audit\evidence\documents\김포 한강\2024-01-02_8849번_하남-미사-김포_인천공항__운행시간_정보.html,,,공지 본문; 저장 원문 문맥,"* 6200번(황산사거리-인천공항) * 5500번(감일문화공원- 인천공항) ### 공항버스 8849번 운행시간 안내 BRT환승센터에서 출발하여 김포공항, 인천공항(T1, T2)으로 운행되고 있는 8849번 운행시간 정보합니다. 강조 문 의 처 : BRT환승센터 031-8027-3911 [시행일자 : 2026년 4월 11일 (토)] 공항버스(8849번) 운행시간표 - 순,하남BRT,하남시청,하남시청역·덕풍시장,풍경채1단지·덕풍중학교,미사역,미사강변2차푸르지오·센트리버,김포공항,인천공항(T1),인천공항(T2), 비고순으로 정보 제공 **순번** | **하남BRT",needs_human,PARAPHRASE,operation_mode_or_line_missing,원문 페이지와 인용을 사람이 확인 후 human_verified/rejected 확정,인용문:N,원문 직접 확인
1,SRC-E1-A07,남양주 다산,occupancy_planned_block," 블록별 입주예정일, 입주자모집공고, 정정 시 버전 관리",다산신도시 지금지구 A1블록 국민임대주택 입주자모집공고,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=7766,C:\Users\parkd\new project\Transport-gap-audit\evidence\documents\남양주 다산\2015-08-11_다산신도시_지금지구_A1블록_국민임대주택_입주자모집공고.html,,,공고문 본문; 저장 원문 문맥,"* 용어사전 * * * 모집완료 다산신도시 지금지구 A1블록 국민임대주택 입주자모집공고 정정사유 * 입주대상 신혼부부, 주거취약계층, 저소득층, 무주택자 * 주택유형 아파트",needs_human,PARAPHRASE,version_not_assigned,원문 페이지와 인용을 사람이 확인 후 human_verified/rejected 확정,인용문:N,원문 직접 확인
1,SRC-H021,남양주 다산,promise_date," 교통시설 완공 목표시점, 광역교통개선대책 원문, 서술어(예정/목표/추진) 원문 보존 + mode·line_name·scope 필수",다산신도시 자연&푸르지오 공공분양주택 입주자모집 정정공고,https://www.gh.or.kr/gh/announcement-of-salerental001.do?articleNo=52607&attachNo=57912&mode=download,C:\Users\parkd\new project\Transport-gap-audit\evidence\documents\남양주 다산\2019_다산신도시_자연_푸르지오_공공분양주택_입주자모집_정정공고.pdf,,,교통환경 안내; 저장 원문 문맥,"- 광역도로 등 광역교통망은 국가기관, 지방자치단체에서 계획하여 진행하는 사항으로 일부 변경 및 취소, 개통지연 등이 발생할 수 있으며, 이 경우 사업주체 및 시공 사는 귀책사유가 없습니다. - 주변 공원‧녹지 등은 미확정 상태이며, 다산지금지구 공공주택지구 사업시행자(경기도시공사)의 실시계획에 의해 향후 변경될 수 있습니다. - 사업부지 서측 서울외곽순환도로 남양주IC, 북서측 지하철 8호선 연장선(예정)이 위치하고 있습니다. - 경기도가 주관하여 추진 중인 서울지하철 8호선 연장선(별내선, 암사~별내지구)의 경우는 2014년 12월 기본계획 고시 되었으며, 노선, 개통시기 및 위치 등 사업내용 은 변경될 수 있고, 해당 사업에 의한 공사 및 운행으로 소음, 진동 등의 영향이 있을 수 있습니다. - 사업지구 경계 밖 지장전주는 지중화 대상이 아닙니다.(사업지구 외 구간임)",needs_human,PARAPHRASE,promise_target_date_missing,원문 페이지와 인용을 사람이 확인 후 human_verified/rejected 확정,인용문:TOO_SHORT,분양공고 교통환경 표기의 약속 후보로 개통일은 별도 문서 필요 | 정책 확정·반영 연도는 개통 목표연도가 아니므로 target date 미확정
1,SRC-E2-A07,남양주 왕숙,occupancy_planned_block," 블록별 입주예정일, 입주자모집공고, 정정 시 버전 관리",남양주왕숙 A-1블록 공공분양주택 입주자모집공고,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=0000060920&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05&mi=1027,C:\Users\parkd\Documents\Codex\2026-08-20\files-mentioned-by-the-user-30-2\evidence\refetched\E2-A07.html,,,공고문 본문; 저장 원문 문맥,"고객님의 안전한 개인정보를 위해 자동로그아웃을 합니다. 로그인 시간을 연장하시겠습니까? 연장하기 로그아웃 당첨자조회 예비자조회 공고이력조회 정정공고 바로가기 취소공고 바로가기 목록 남양주왕숙 A-1블록 공공분양주택 입주자모집공고 유의사항본 공고문에 대한 정정 공고문이 있습니다. 정정공고바로가기 버튼을 눌러 확인하여 주시기 바랍니다. 공고상태접수마감 공고일2025.07.24 마감일2025.08.08 유형분양주택 담당부서경기북부지역본부 문의처1600-1004 공고문 남양주왕숙A-1BL공공분양입주자모집공고문(250724).hwp바로보기 남양주왕숙A-1BL공공분양입주자모집공고문(250724).pdf바로보기 다운로드 남양주왕숙A-1BL공공분양팸플릿(250724).pdf바로보기 1.위임장.hwp바로보기 2-1.개인정보수집이용및제3자제공동의서(사전청약당첨자용).hwp바로보기 2-2.개인정보수집이용및제3자제공동의서(본청약자용).hwp바로보기 문서뷰어다운로드 한컴오피스 뷰어 Acrobat Reader DWG 뷰어 공고내용 ■ 이 주택의 입주자모집공고일은 2025.07.24.(목)이며, 이는 청약자격(청약신청, 자격조건의 기간, 나이, 세대구성원, 지역우선, 주택소유 등)의 판단기준일이 됩니다. ■ 공급위치 : 경기도 남양주시 진접읍, 진건읍, 퇴계원읍 일원 남양주왕숙 공공주택지구 내 A-1블록 ■ 공급대상 : 공공분양주택 629세대 (전용 59㎡ 6",needs_human,PARAPHRASE,version_not_assigned,원문 페이지와 인용을 사람이 확인 후 human_verified/rejected 확정,인용문:N,원문 직접 확인
